0;0;0;0;land;false;unknown;0
1;127;137;244;land;false;plains;1
2;223;90;219;land;false;plains;1
3;224;103;236;land;false;plains;1
4;205;97;205;land;false;plains;1
5;192;221;214;land;false;plains;1
6;252;238;78;land;false;plains;1
7;185;209;178;land;false;plains;1
8;210;233;226;land;false;plains;1
9;198;124;247;land;false;plains;1
10;249;77;197;land;false;plains;1
11;98;218;248;land;false;plains;1
12;178;222;145;land;false;plains;1
13;150;208;203;land;false;plains;1
14;222;237;115;land;false;plains;1
15;235;187;123;land;false;plains;1
16;219;223;113;land;false;plains;1
17;189;227;225;land;false;plains;1
18;165;217;196;land;false;plains;1
19;232;202;71;land;false;plains;1
20;146;251;211;land;false;plains;1
21;179;205;221;land;false;plains;1
22;169;157;197;land;false;plains;1
23;181;225;98;land;false;plains;1
24;114;201;243;land;false;plains;1
25;238;215;123;land;false;plains;1
26;219;237;207;land;false;plains;1
27;161;190;179;land;false;plains;1
28;207;218;250;land;false;plains;1
29;184;105;227;land;false;plains;1
30;210;104;227;land;false;plains;1
31;253;95;213;land;false;plains;1
32;153;194;237;land;false;plains;1
33;171;243;129;land;false;plains;1
34;196;81;248;land;false;plains;1
35;238;183;82;land;false;plains;1
36;81;249;227;land;false;plains;1
37;138;203;189;land;false;plains;1
38;222;200;135;land;false;plains;1
39;228;216;151;land;false;plains;1
40;174;239;209;land;false;plains;1
41;218;251;76;land;false;plains;1
42;217;230;185;land;false;plains;1
43;173;215;170;land;false;plains;1
44;219;209;131;land;false;plains;1
45;134;240;150;land;false;desert;1
46;245;136;242;land;false;plains;1
47;194;142;222;land;false;plains;1
48;115;240;162;land;false;plains;1
49;201;212;144;land;false;plains;1
50;144;225;164;land;false;plains;1
51;159;238;176;land;false;plains;1
52;81;215;240;land;false;plains;1
53;154;254;136;land;false;plains;1
54;66;214;228;land;false;plains;1
55;221;246;70;land;false;plains;1
56;235;165;129;land;false;plains;1
57;196;242;233;land;false;plains;1
58;245;133;223;land;false;plains;1
59;199;248;162;land;false;mountain;1
60;240;186;252;land;false;plains;1
61;218;209;248;land;false;plains;1
62;210;153;243;land;false;plains;1
63;225;150;196;land;false;plains;1
64;237;118;244;land;false;plains;1
65;254;49;225;land;false;plains;1
66;175;145;232;land;false;plains;1
67;223;73;213;land;false;plains;1
68;145;252;115;land;false;plains;1
69;100;232;242;land;false;plains;1
70;203;190;195;land;false;plains;1
71;184;251;224;land;false;plains;1
72;246;126;252;land;false;plains;1
73;119;223;208;land;false;plains;1
74;218;221;236;land;false;plains;1
75;251;42;215;land;false;plains;1
76;209;224;134;land;false;plains;1
77;244;150;187;land;false;plains;1
78;140;238;155;land;false;plains;1
79;191;177;246;land;false;plains;1
80;175;97;232;land;false;plains;1
81;189;241;99;land;false;plains;1
82;175;132;224;land;false;plains;1
83;243;145;207;land;false;plains;1
84;129;162;223;land;false;plains;1
85;149;141;224;land;false;plains;1
86;189;176;254;land;false;plains;1
87;232;247;247;land;false;plains;1
